name,country,abstract
"""Afghanistan""@en",http://dbpedia.org/resource/Afghanistan,"""Afghanistan /æfˈɡænɨstæn/ (Persian/Pashto: افغانستان,  Afġānistān), officially the Islamic Republic of Afghanistan, is a  landlocked country located in Central Asia and South Asia. It has a  population of around 30 million inhabiting an area of approximately  652,000 km2 (252,000 sq mi), making it the 42nd most populous and 41st  largest nation in the world. It is bordered by Pakistan in the south and  the east, Iran in the west, Turkmenistan, Uzbekistan, and Tajikistan in  the north, and China in the far northeast.Afghanistan has been an  ancient focal point of the Silk Road and human migration. Archaeologists  have found evidence of human habitation from as far back as the Middle  Paleolithic. Urban civilization may have begun in the area as early as  3,000 to 2,000 BC. Sitting at an important geostrategic location that  connects the Middle East culture with Central Asia and the Indian  subcontinent, the land has been home to various peoples through the ages  and witnessed many military campaigns, notably by Alexander the Great,  Arab Muslims, Genghis Khan, and in modern-era Western forces. The land  also served as a source from which the Kushans, Hephthalites, Samanids,  Ghaznavids, Ghorids, Mughals, Durranis and others have risen to form  major empires.The political history of the modern state of Afghanistan  begins in 1709 with the rise of the Pashtuns - historically known as  ""Afghans"" - when the Hotaki dynasty was established in Kandahar followed  by the rise of the Durrani Empire in 1747. In the late 19th century,  Afghanistan became a buffer state in the ""Great Game"" between British  India and the Russian Empire. Following the 1919 Anglo-Afghan War, King  Amanullah began a European style modernization of the country but was  stopped by ultra-conservatives. During the Cold War, after the  withdrawal of the British from neighboring India in 1947, the United  States and the Soviet Union began spreading influences in Afghanistan,  which led in 1979 to a bloody war between the US-backed mujahideen  forces and the Soviet-backed Afghan government in which over a million  Afghans lost their lives. This was followed by a 1990s civil war, the  rise and fall of the extremist Taliban government, and the 2001–present  war. In December 2001, the United Nations Security Council authorized  the creation of the International Security Assistance Force (ISAF) to  help maintain security in Afghanistan and assist the Karzai  administration.Three decades of war made Afghanistan one of the world's  most dangerous countries. While the international community is  rebuilding war-torn Afghanistan, terrorist groups such as the Haqqani  Network and Hezbi Islami are actively involved in a nationwide  Taliban-led insurgency, which includes hundreds of assassinations and  suicide attacks. According to the United Nations, the insurgents were  responsible for 80% of civilian casualties in 2011 and 2012. It suffers  from several challenges, including being world's most corrupt country  and is the World's largest source of refugees.""@en"
"""Albania""@en",http://dbpedia.org/resource/Albania,"""Albania (/ælˈbeɪniə/, al-BAY-nee-ə, or sometimes /ɔːlˈbeɪniə/,  awl-BAY-nee-ə; Albanian: Shqipëri/Shqipëria; Gheg Albanian:  Shqipni/Shqipnia), officially known as the Republic of Albania  (Albanian: Republika e Shqipërisë; Albanian pronunciation: [ɾɛpuˈblika ɛ  ʃcipəˈɾiːs]), is a country in Southeastern Europe. It is bordered by  Montenegro to the northwest, Kosovo to the northeast, Macedonia to the  east, and Greece to the south and southeast. It has a coast on the  Adriatic Sea to the west and on the Ionian Sea to the southwest. It is  less than 72 km (45 mi) from Italy, across the Strait of Otranto which  links the Adriatic Sea to the Ionian Sea.Albania is a member of the UN,  NATO, the Organization for Security and Co-operation in Europe, Council  of Europe, World Trade Organization, and is one of the founding members  of the Union for the Mediterranean. Albania has been a potential  candidate for accession to the European Union since January 2003 and it  formally applied for EU membership on 28 April 2009.The modern-day  territory of Albania was at various points in history part of the Roman  provinces of Dalmatia (southern Illyricum), Macedonia (particularly  Epirus Nova), and Moesia Superior. The modern Republic became  independent after the collapse of the Ottoman Empire in Europe following  the Balkan Wars. Albania declared independence in 1912 (to be  recognised in 1913), becoming a Principality, Republic, and Kingdom  until being invaded by Italy in 1939, which formed Greater Albania,  which in turn became a Nazi German protectorate in 1943. In 1944, a  socialist People's Republic was established under the leadership of  Enver Hoxha and the Party of Labour. In 1991, the Socialist Republic was  dissolved and the Republic of Albania was established.Albania is a  parliamentary democracy. As of 2011, the capital, Tirana, was home to  421,286 of the country's 2,831,741 people within the city limits,  763,634 in the metropolitan area. Tirana is also the financial capital  of the country. Free-market reforms have opened the country to foreign  investment, especially in the development of energy and transportation  infrastructure. Albania has a high HDI and provides a universal health  care system and free primary and secondary education. Albania is an  upper-middle income economy (WB, IMF) with the service sector dominating  the country's economy, followed by the industrial sector and  agriculture.""@en"
"""Algeria""@en",http://dbpedia.org/resource/Algeria,"""Algeria (/ælˈdʒɪəriə/; Literary Arabic: الجزائرal-Jazāʼir;  Tamazight: Dzayer, ⴷⵣⴰⵢⴻⵔ; French: Algérie), officially The People's  Democratic Republic of Algeria, is a country in the Maghreb region of  North Africa on the Mediterranean coast. Its capital and most populous  city is Algiers. With a total area of 2,381,741 square kilometres  (919,595 sq mi), Algeria is the tenth-largest country in the world, and  the largest in Africa and in the Mediterranean. The country is bordered  in the northeast by Tunisia, in the east by Libya, in the west by  Morocco, in the southwest by Western Sahara, Mauritania, and Mali, in  the southeast by Niger, and in the north by the Mediterranean Sea. The  territory of today's Algeria was the home of many ancient prehistoric  cultures, including Aterian and Capsian cultures. Its area has known  many empires and dynasties, including ancient Berber Numidians,  Phoenecians, Lybio-Punic Carthaginians, Romans, Vandals, Byzantines,  Arab Umayyads, Arab Abbasids, Arab Fatimids, Berber Almoravids, Berber  Almohads, Turkish Ottomans and the French colonial empire. Algeria is a  semi-presidential republic, it consists of 48 provinces and 1541  communes. With a population of 37.9 million, it is the 35th most  populated country on Earth. Abdelaziz Bouteflika has been the President  of Algeria since 1999 and has won four consecutive elections. However,  according to the Democracy Index Algeria is an authoritarian  regime.Algeria's economy is largely based on hydrocarbons, due to which  manufacturing has suffered from Dutch disease. The country supplies  large amounts of natural gas to Europe and energy exports are the  backbone of the economy. According to OPEC Algeria has 17th largest  reserves of oil in the world, and second largest in Africa, while it has  the 9th largest reserves of natural gas. Sonatrach, the national oil  company, is the largest company in Africa. Algeria has the second  largest military in North Africa with the largest defense budget in  Africa. Algeria had a peaceful nuclear program since the 1990s. Algeria  is a member of the African Union, the Arab League, OPEC and the United  Nations, and is a founding member of the Arab Maghreb Union.""@en"
"""الجمهورية الجزائرية الديمقراطية الشعبية (Arabic)""@en",http://dbpedia.org/resource/Algeria,"""Algeria (/ælˈdʒɪəriə/; Literary Arabic: الجزائرal-Jazāʼir;  Tamazight: Dzayer, ⴷⵣⴰⵢⴻⵔ; French: Algérie), officially The People's  Democratic Republic of Algeria, is a country in the Maghreb region of  North Africa on the Mediterranean coast. Its capital and most populous  city is Algiers. With a total area of 2,381,741 square kilometres  (919,595 sq mi), Algeria is the tenth-largest country in the world, and  the largest in Africa and in the Mediterranean. The country is bordered  in the northeast by Tunisia, in the east by Libya, in the west by  Morocco, in the southwest by Western Sahara, Mauritania, and Mali, in  the southeast by Niger, and in the north by the Mediterranean Sea. The  territory of today's Algeria was the home of many ancient prehistoric  cultures, including Aterian and Capsian cultures. Its area has known  many empires and dynasties, including ancient Berber Numidians,  Phoenecians, Lybio-Punic Carthaginians, Romans, Vandals, Byzantines,  Arab Umayyads, Arab Abbasids, Arab Fatimids, Berber Almoravids, Berber  Almohads, Turkish Ottomans and the French colonial empire. Algeria is a  semi-presidential republic, it consists of 48 provinces and 1541  communes. With a population of 37.9 million, it is the 35th most  populated country on Earth. Abdelaziz Bouteflika has been the President  of Algeria since 1999 and has won four consecutive elections. However,  according to the Democracy Index Algeria is an authoritarian  regime.Algeria's economy is largely based on hydrocarbons, due to which  manufacturing has suffered from Dutch disease. The country supplies  large amounts of natural gas to Europe and energy exports are the  backbone of the economy. According to OPEC Algeria has 17th largest  reserves of oil in the world, and second largest in Africa, while it has  the 9th largest reserves of natural gas. Sonatrach, the national oil  company, is the largest company in Africa. Algeria has the second  largest military in North Africa with the largest defense budget in  Africa. Algeria had a peaceful nuclear program since the 1990s. Algeria  is a member of the African Union, the Arab League, OPEC and the United  Nations, and is a founding member of the Arab Maghreb Union.""@en"
"""Andorra""@en",http://dbpedia.org/resource/Andorra,"""Andorra (/ænˈdɔrə/; Catalan pronunciation: [ənˈdorə], locally:  [anˈdɔra]), officially the Principality of Andorra (Catalan: Principat  d'Andorra), also called the Principality of the Valleys of Andorra  (Catalan: Principat de les Valls d'Andorra), is a landlocked microstate  in Southwestern Europe, located in the eastern Pyrenees mountains and  bordered by Spain and France. It is the sixth smallest nation in Europe,  having an area of 468 km2 (181 sq mi) and an estimated population of  85,000 in 2012. Its capital, Andorra la Vella, is the highest capital  city in Europe, at an elevation of 1,023 metres (3,356 ft) above sea  level. The official language is Catalan, although Spanish, Portuguese,  and French are also commonly spoken.Created under a charter in A.D. 988,  the present Principality was formed in A.D. 1278. It is known as a  principality as it is a monarchy headed by two Co-Princes – the  Spanish/Roman Catholic Bishop of Urgell and the President of  France.Andorra is a prosperous country mainly because of its tourism  industry, which services an estimated 10.2 million visitors annually,  and because of its status as a tax haven, although it is in the process  of reforming its tax regime. It is not a member of the European Union,  but the euro is the de facto currency. It has been a member of the  United Nations since 1993. The people of Andorra have the 3rd highest  human life expectancy at birth in the world – 84 years.""@en"
"""Angola""@en",http://dbpedia.org/resource/Angola,"""Angola, officially the Republic of Angola (Portuguese:  República de Angola pronounced: [ʁɛˈpublikɐ dɨ ɐ̃ˈɡɔlɐ]; Kikongo,  Kimbundu, Umbundu: Repubilika ya Ngola), is a country in Southern Africa  bordered by Namibia on the south, the Democratic Republic of the Congo  on the north, and Zambia on the east; its west coast is on the Atlantic  Ocean and Luanda is its capital city. The exclave province of Cabinda  has borders with the Republic of the Congo and the Democratic Republic  of the Congo.The Portuguese were present in some – mostly coastal –  points of the territory of what is now Angola, from the 16th to the 19th  century, interacting in diverse ways with the peoples who lived there.  In the 19th century, they slowly and hesitantly began to establish  themselves in the interior. Angola as a Portuguese colony encompassing  the present territory was not established before the end of the 19th  century, and ""effective occupation"", as required by the Berlin  Conference (1884) was achieved only by the 1920s after the Mbunda  resistance and abduction of their King, Mwene Mbandu I Lyondthzi Kapova.  Independence was achieved in 1975, after a protracted liberation war.  After independence, Angola was the scene of an intense civil war from  1975 to 2002. Despite the civil war, areas such as Baixa de Cassanje  continue a lineage of kings which have included the former King Kambamba  Kulaxingo and current King Dianhenga Aspirante Mjinji Kulaxingo.The  country has vast mineral and petroleum reserves, and its economy has on  average grown at a double-digit pace since the 1990s, especially since  the end of the civil war. In spite of this, standards of living remain  low for the majority of the population, and life expectancy and infant  mortality rates in Angola are among the worst in the world. Angola is  considered to be economically disparate, with the majority of the  nation's wealth concentrated in a disproportionately small sector of the  population.Angola is a member state of the African Union, the Community  of Portuguese Language Countries, the Latin Union and the Southern  African Development Community.""@en"
"""Antigua and Barbuda""@en",http://dbpedia.org/resource/Antigua_and_Barbuda,"""Antigua and Barbuda  ({{|æ|n|ˈ|t|iː|ɡ|ə|_|æ|n|d|_|b|ɑr|ˈ|b|juː|d|ə}}; Spanish for ""ancient""  and ""bearded"") is a twin-island nation lying between the Caribbean Sea  and the Atlantic Ocean. It consists of two major inhabited islands,  Antigua and Barbuda, and a number of smaller islands (including Great  Bird, Green, Guinea, Long, Maiden and York Islands and further south,  the island of Redonda). The permanent population numbers approximately  81,800 (at the 2011 Census) and the capital and largest port and city is  St. John's, on Antigua.Separated by a few nautical miles, Antigua and  Barbuda are in the middle of the Leeward Islands, part of the Lesser  Antilles, roughly at 17 degrees north of the Equator. The country is  nicknamed ""Land of 365 Beaches"" due to the many beaches surrounding the  islands. Its governance, language, and culture have all been strongly  influenced by the British Empire, of which the country was formerly a  part.""@en"
"""Argentina""@en",http://dbpedia.org/resource/Argentina,"""Argentina /ˌɑrdʒənˈtiːnə/, officially the Argentine Republic  (Spanish: República Argentina [reˈpuβlika aɾxenˈtina]) is a federal  republic located in southeastern South America. Covering most of the  Southern Cone, it is bordered by Bolivia and Paraguay to the north;  Brazil to the northeast; Uruguay and the South Atlantic Ocean to the  east; Chile to the west and the Drake Passage to the south.With a  mainland area of 2,780,400 km2 (1,073,500 sq mi), Argentina is the  eighth-largest country in the world, the second largest in Latin America  and the largest Spanish-speaking nation.Argentina claims sovereignty  over part of Antarctica, the Falkland Islands (Spanish: Islas Malvinas),  South Georgia and the South Sandwich Islands.A historical and current  middle power and a prominent Latin American and Southern Cone regional  power, Argentina is one of the G-15 and G-20 major economies and Latin  America's third-largest. It is also a founding member of the United  Nations, WBG, WTO, Mercosur, UNASUR, CELAC and OEI. Because of its  stability, market size and increasing share of the high-tech sector,  Argentina is classed by investors as a middle emerging economy with a  ""very high"" rating on the Human Development Index.The earliest recorded  human presence in the area now known as Argentina is dated from the  Paleolithic period. The Spanish colonization began in 1512. Argentina  rose as the successor state of the Viceroyalty of the Río de la Plata, a  Spanish overseas colony founded in 1776. The declaration and fight for  independence (1810–1818) was followed by an extended civil war that  lasted until 1861, which ended with the country's reorganization as a  federation of provinces with Buenos Aires as its capital city. From then  on—while massive European immigration waves radically reshaped its  cultural and demographic outlook—Argentina enjoyed an historically  almost-unparalleled increase in prosperity: by the early 20th century it  already ranked as the seventh wealthiest developed nation in the  world.After 1930, however, and despite remaining among the fifteen  richest countries until mid-century, it descended into political  instability and suffered periodic economic crisis that sank it back into  underdevelopment.""@en"
"""Armenia""@en",http://dbpedia.org/resource/Armenia,"""Hayastan / Hayasdan lead to this page. For other uses, see  Hayastan (disambiguation)Armenia (/ɑrˈmiːniə/, /ɑrˈmiːnjə/ Armenian:  Հայաստան Hayastan), officially the Republic of Armenia (Armenian:  Հայաստանի Հանրապետություն, Hayastani Hanrapetut’yun), is a mountainous  country in the South Caucasus region of Eurasia. Located at the  crossroads of Western Asia and Eastern Europe, it is bordered by Turkey  to the west, Georgia to the north, the de facto independent  Nagorno-Karabakh Republic and Azerbaijan to the east, and Iran and the  Azerbaijani exclave of Nakhchivan to the south.Armenia is a unitary,  multi-party, democratic nation-state with an ancient cultural heritage.  The Kingdom of Armenia was established in the 6th century BC, after the  fall of Urartu; it became the first state in the world to adopt  Christianity as its official religion, in the early years of the 4th  century (the traditional date is 301 AD). For this reason, Armenia is  often referred to as the ""first Christian nation."" An Armenian  principality and later a kingdom, known as Cilician Armenia, existed on  the coast of the Mediterranean Sea between the 11th and 14th  centuries.By the 19th century, the traditional Armenian homeland was  divided between the Ottoman and Russian empires. During World War I, the  Armenians living in their ancestral lands in the Ottoman Empire were  systematically exterminated in the Armenian Genocide. After almost 600  years of statelessness, Armenia was able to become independent in 1918;  however, the First Republic of Armenia was surrounded by hostile  countries that forcibly ended its independence in 1920. Between 1920 and  1991, Armenia was part of the Soviet Union. The modern Republic of  Armenia became independent in 1991.The Republic of Armenia recognizes  the Armenian Apostolic Church, the world's oldest national church, as  the country's primary religious establishment. Armenians have their own  unique alphabet, which was invented by Mesrop Mashtots in 405 AD.Armenia  is a member of the Council of Europe and the Collective Security Treaty  Organization. Armenia supports the de-facto independent  Nagorno-Karabakh Republic, which was proclaimed in 1991.""@en"
"""Hayastani Hanrapetutyun""@en",http://dbpedia.org/resource/Armenia,"""Hayastan / Hayasdan lead to this page. For other uses, see  Hayastan (disambiguation)Armenia (/ɑrˈmiːniə/, /ɑrˈmiːnjə/ Armenian:  Հայաստան Hayastan), officially the Republic of Armenia (Armenian:  Հայաստանի Հանրապետություն, Hayastani Hanrapetut’yun), is a mountainous  country in the South Caucasus region of Eurasia. Located at the  crossroads of Western Asia and Eastern Europe, it is bordered by Turkey  to the west, Georgia to the north, the de facto independent  Nagorno-Karabakh Republic and Azerbaijan to the east, and Iran and the  Azerbaijani exclave of Nakhchivan to the south.Armenia is a unitary,  multi-party, democratic nation-state with an ancient cultural heritage.  The Kingdom of Armenia was established in the 6th century BC, after the  fall of Urartu; it became the first state in the world to adopt  Christianity as its official religion, in the early years of the 4th  century (the traditional date is 301 AD). For this reason, Armenia is  often referred to as the ""first Christian nation."" An Armenian  principality and later a kingdom, known as Cilician Armenia, existed on  the coast of the Mediterranean Sea between the 11th and 14th  centuries.By the 19th century, the traditional Armenian homeland was  divided between the Ottoman and Russian empires. During World War I, the  Armenians living in their ancestral lands in the Ottoman Empire were  systematically exterminated in the Armenian Genocide. After almost 600  years of statelessness, Armenia was able to become independent in 1918;  however, the First Republic of Armenia was surrounded by hostile  countries that forcibly ended its independence in 1920. Between 1920 and  1991, Armenia was part of the Soviet Union. The modern Republic of  Armenia became independent in 1991.The Republic of Armenia recognizes  the Armenian Apostolic Church, the world's oldest national church, as  the country's primary religious establishment. Armenians have their own  unique alphabet, which was invented by Mesrop Mashtots in 405 AD.Armenia  is a member of the Council of Europe and the Collective Security Treaty  Organization. Armenia supports the de-facto independent  Nagorno-Karabakh Republic, which was proclaimed in 1991.""@en"
